run,concurrency,isl,osl,num_prompts,sampled_s,samples,GPU_0_avg_temp,GPU_0_avg_power,GPU_0_avg_util,GPU_0_avg_mem_util,GPU_1_avg_temp,GPU_1_avg_power,GPU_1_avg_util,GPU_1_avg_mem_util,GPU_2_avg_temp,GPU_2_avg_power,GPU_2_avg_util,GPU_2_avg_mem_util,GPU_3_avg_temp,GPU_3_avg_power,GPU_3_avg_util,GPU_3_avg_mem_util,GPU_4_avg_temp,GPU_4_avg_power,GPU_4_avg_util,GPU_4_avg_mem_util,GPU_5_avg_temp,GPU_5_avg_power,GPU_5_avg_util,GPU_5_avg_mem_util,GPU_6_avg_temp,GPU_6_avg_power,GPU_6_avg_util,GPU_6_avg_mem_util,GPU_7_avg_temp,GPU_7_avg_power,GPU_7_avg_util,GPU_7_avg_mem_util
3,320,2048,512,2560,1101,496,65.5,593.3,94.6,29.9,52.9,550.1,94.5,29.6,65.2,591.4,94.4,30.1,53.7,562.4,94.7,29.9,64.6,580.4,94.2,29.9,52.6,543.1,94.9,30.3,66.6,579.2,94.6,30.0,53.7,552.4,94.9,29.9
3,384,2048,512,3072,1327,597,66.1,597.4,95.4,30.1,53.3,553.9,95.2,30.0,65.9,595.5,95.4,30.3,54.2,568.5,94.9,30.0,65.3,584.4,95.4,30.1,52.9,546.2,95.1,30.0,67.2,582.5,95.1,30.0,54.0,554.7,95.4,29.9
