run,concurrency,isl,osl,num_prompts,sampled_s,samples,GPU_0_avg_temp,GPU_0_avg_power,GPU_1_avg_temp,GPU_1_avg_power,GPU_2_avg_temp,GPU_2_avg_power,GPU_3_avg_temp,GPU_3_avg_power,GPU_4_avg_temp,GPU_4_avg_power,GPU_5_avg_temp,GPU_5_avg_power,GPU_6_avg_temp,GPU_6_avg_power,GPU_7_avg_temp,GPU_7_avg_power
1,1,2048,512,8,17,8,31.6,156.3,27.0,78.0,29.0,79.1,27.0,79.2,29.0,78.8,26.2,76.2,30.0,77.5,27.9,78.3
1,1,4096,1024,8,23,11,32.6,191.7,27.0,78.0,29.0,79.1,27.0,78.9,29.0,78.8,26.1,76.2,30.0,77.4,27.5,78.3
1,1,1024,4096,8,59,28,34.2,214.9,27.0,78.1,29.0,79.1,27.0,79.0,29.0,78.8,26.3,76.3,30.0,77.4,27.8,78.3
